id	name	desc	url	type	P400
45355	レインボーシックス エクストラクション ユナイテッドセット	2022 PS5 video game	https://www.famitsu.com/games/t/45355/	Q7889	Q63184502
45356	マッチポイント：テニスチャンピオンシップ	2022 PS4 video game	https://www.famitsu.com/games/t/45356/	Q7889	Q5014725
45357	マッチポイント：テニスチャンピオンシップ	2022 PS5 video game	https://www.famitsu.com/games/t/45357/	Q7889	Q63184502
45358	マッチポイント：テニスチャンピオンシップ	Switch video game	https://www.famitsu.com/games/t/45358/	Q7889	Q19610114
45359	マッチポイント：テニスチャンピオンシップ	PC video game	https://www.famitsu.com/games/t/45359/	Q7889	Q1406
45360	昭和米国物語	PS4 video game	https://www.famitsu.com/games/t/45360/	Q7889	Q5014725
45361	昭和米国物語	PS5 video game	https://www.famitsu.com/games/t/45361/	Q7889	Q63184502
45377	Stela	2022 Switch video game	https://www.famitsu.com/games/t/45377/	Q7889	Q19610114
45383	ぼくは航空管制官4 仙台	2022 PC video game	https://www.famitsu.com/games/t/45383/	Q7889	Q1406
45384	シャーロック・ホームズ：罪と罰	2022 Switch video game	https://www.famitsu.com/games/t/45384/	Q7889	Q19610114
45386	ExitMan Deluxe	2022 Switch video game	https://www.famitsu.com/games/t/45386/	Q7889	Q19610114
45387	ExitMan Deluxe	2022 PS4 video game	https://www.famitsu.com/games/t/45387/	Q7889	Q5014725
45388	ExitMan Deluxe	2022 XOne video game	https://www.famitsu.com/games/t/45388/	Q7889	Q13361286
45398	フー・イズ・ゾンビ	2022 Switch video game	https://www.famitsu.com/games/t/45398/	Q7889	Q19610114
45399	フー・イズ・ゾンビ	2022 PC video game	https://www.famitsu.com/games/t/45399/	Q7889	Q1406
45400	NEEDY GIRL OVERDOSE	2022 PC video game	https://www.famitsu.com/games/t/45400/	Q7889	Q1406
45402	レゴ スター・ウォーズ/スカイウォーカー・サーガ	2022 PC video game	https://www.famitsu.com/games/t/45402/	Q7889	Q1406
45409	初音ミク ロジックペイントS	2022 XOne video game	https://www.famitsu.com/games/t/45409/	Q7889	Q13361286
45410	初音ミク ロジックペイントS	2022 XSX video game	https://www.famitsu.com/games/t/45410/	Q7889	Q98973368
45411	初音ミク ロジックペイントS	2022 PC video game	https://www.famitsu.com/games/t/45411/	Q7889	Q1406
45412	Expeditions: Rome	2022 PC video game	https://www.famitsu.com/games/t/45412/	Q7889	Q1406
45413	レインボーシックス エクストラクション ユナイテッドセット	2022 XSX video game	https://www.famitsu.com/games/t/45413/	Q7889	Q98973368
45414	レインボーシックス エクストラクション ユナイテッドセット	2022 XOne video game	https://www.famitsu.com/games/t/45414/	Q7889	Q13361286
45417	パルワールド / Palworld	2022 PC video game	https://www.famitsu.com/games/t/45417/	Q7889	Q1406
45418	Momodora: Moonlit Farewell	PC video game	https://www.famitsu.com/games/t/45418/	Q7889	Q1406
45419	炎姫	2023 PC video game	https://www.famitsu.com/games/t/45419/	Q7889	Q1406
